epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1893.16,0.55113,1.12909,1.17598,0.47315,0.71119,0.44837,0.40248,1.1302,1.56046,0.84638,0.000821206,0.000821206,0.000821206
43,1937.23,0.55677,1.14245,1.18647,0.49246,0.71565,0.45537,0.40918,1.14595,1.61274,0.87549,0.000800577,0.000800577,0.000800577
44,1982.02,0.54922,1.1524,1.18029,0.4968,0.7208,0.47393,0.42635,1.13248,1.52876,0.88186,0.000779948,0.000779948,0.000779948
45,2029.21,0.55956,1.13816,1.18687,0.48981,0.7208,0.46094,0.41453,1.14832,1.57714,0.87444,0.000759318,0.000759318,0.000759318
46,2075.93,0.55417,1.12926,1.18229,0.49488,0.70799,0.4482,0.40125,1.16411,1.59123,0.86055,0.000738689,0.000738689,0.000738689
47,2118.88,0.53634,1.13228,1.17466,0.49834,0.7208,0.46349,0.41572,1.12933,1.58468,0.85642,0.00071806,0.00071806,0.00071806
48,2161.54,0.51759,1.10573,1.14507,0.49388,0.71504,0.44878,0.40243,1.12835,1.56379,0.83991,0.000697431,0.000697431,0.000697431
49,2204.24,0.5309,1.13459,1.16218,0.46331,0.70026,0.45139,0.40353,1.13519,1.62741,0.86096,0.000676802,0.000676802,0.000676802
50,2246.81,0.53258,1.11579,1.16715,0.49125,0.71898,0.45781,0.41124,1.11204,1.57647,0.88145,0.000656173,0.000656173,0.000656173
51,2289.46,0.53777,1.12938,1.16308,0.49621,0.7208,0.44711,0.40203,1.12882,1.53785,0.87746,0.000635544,0.000635544,0.000635544
52,2332.13,0.53004,1.1178,1.16613,0.48772,0.7208,0.48055,0.43178,1.1203,1.4968,0.85593,0.000614915,0.000614915,0.000614915
53,2374.76,0.53599,1.13344,1.16773,0.49748,0.7208,0.47508,0.42757,1.11624,1.52165,0.86135,0.000594286,0.000594286,0.000594286
54,2417.46,0.51514,1.09179,1.15909,0.49879,0.7208,0.46102,0.41479,1.10508,1.51822,0.85337,0.000573656,0.000573656,0.000573656
55,2460.19,0.52449,1.1196,1.15301,0.49256,0.71806,0.45782,0.40924,1.11371,1.5253,0.85624,0.000553027,0.000553027,0.000553027
56,2502.97,0.51803,1.10517,1.14613,0.48869,0.69249,0.44567,0.40037,1.13351,1.62981,0.86586,0.000532398,0.000532398,0.000532398
