epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.5782,0.87076,2.23511,1.38942,0.48799,0.56886,0.48985,0.43768,1.12736,2.40369,1.08277,0.000553675,0.000553675,0.000553675
2,79.4268,0.73558,1.49279,1.25591,0.4542,0.50311,0.4212,0.16531,1.36863,2.62695,1.30009,0.000889692,0.000889692,0.000889692
3,102.299,0.67876,1.29529,1.21383,0.78741,0.62991,0.6533,0.61014,1.03899,1.58491,1.00016,0.00100567,0.00100567,0.00100567
4,125.266,0.62749,1.15162,1.19152,0.73956,0.60647,0.67502,0.67491,0.89897,1.42913,0.85423,0.000676802,0.000676802,0.000676802
5,147.797,0.52538,1.03249,1.11912,0.94694,0.68052,0.70376,0.70348,0.88563,1.27107,0.85719,0.000346736,0.000346736,0.000346736
