epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,27.5931,0.69368,0.56897,1,0.84404,0.00053979,0.00053979,0.00053979
2,69.9788,0.71769,0.56113,1,0.84805,0.00106834,0.00106834,0.00106834
3,131.136,0.69309,0.63793,1,nan,0.00156939,0.00156939,0.00156939
